Gene_Symbol	entrez_ID
F11	2160
F12	2161
F13A1	2162
F13B	2165
FAAH	2166
FABP4	2167
FABP1	2168
FABP2	2169
FABP3	2170
FABP5	2171
FABP6	2172
FABP7	2173
FANCA	2175
FANCC	2176
FANCD2	2177
FANCE	2178
ACSL1	2180
ACSL3	2181
ACSL4	2182
FAH	2184
PTK2B	2185
BPTF	2186
FANCB	2187
FANCF	2188
FANCG	2189
FAP	2191
FBLN1	2192
FARSA	2193
FASN	2194
FAT1	2195
FAT2	2196
FAU	2197
FBLN2	2199
FBN1	2200
FBN2	2201
EFEMP1	2202
FBP1	2203
FCAR	2204
FCER1A	2205
MS4A2	2206
FCER1G	2207
FCER2	2208
FCGR1B	2210
FCGR2A	2212
FCGR3A	2214
FCGR3B	2215
FCGRT	2217
FKTN	2218
FCN1	2219
FCN2	2220
FDFT1	2222
FDPS	2224
FDX1	2230
FDXR	2232
FECH	2235
FEN1	2237
GPC4	2239
FER	2241
FES	2242
FGA	2243
FGB	2244
FGD1	2245
FGF1	2246
FGF2	2247
FGF3	2248
FGF4	2249
FGF5	2250
FGF6	2251
FGF7	2252
FGF8	2253
FGF9	2254
FGF10	2255
FGF11	2256
FGF12	2257
FGF13	2258
FGF14	2259
FGFR1	2260
FGFR3	2261
GPC5	2262
FGFR2	2263
FGFR4	2264
FGG	2266
FGL1	2267
FGR	2268
FH	2271
FHIT	2272
FHL1	2273
FHL2	2274
FHL3	2275
VEGFD	2277
FKBP1A	2280
FKBP1B	2281
FKBP2	2286
FKBP3	2287
FKBP4	2288
FKBP5	2289
FOXG1	2290
FOXF1	2294
FOXF2	2295
FOXC1	2296
FOXD1	2297
FOXI1	2299
FOXL1	2300
FOXE3	2301
FOXJ1	2302
FOXC2	2303
FOXE1	2304
FOXM1	2305
FOXD2	2306
FOXS1	2307
FOXO1	2308
FOXO3	2309
FLG	2312
FLI1	2313
FLII	2314
MLANA	2315
FLNA	2316
FLNB	2317
FLNC	2318
FLOT2	2319
FLT1	2321
FLT3	2322
FLT3LG	2323
FLT4	2324
FMO1	2326
FMO2	2327
FMO3	2328
FMO4	2329
FMO5	2330
FMOD	2331
FMR1	2332
AFF2	2334
FN1	2335
FNTA	2339
FNTB	2342
FOLH1	2346
FOLR1	2348
FOLR2	2350
FOLR3	2352
FOS	2353
FOSB	2354
FOSL2	2355
FPGS	2356
FPR1	2357
FPR2	2358
FPR3	2359
FXN	2395
FRK	2444
MTOR	2475
FRG1	2483
FRZB	2487
FSHB	2488
CENPI	2491
FSHR	2492
NR5A2	2494
FTH1	2495
FTH1P3	2498
FTL	2512
ADAM2	2515
NR5A1	2516
FUCA1	2517
FUCA2	2519
GAST	2520
FUS	2521
FUT1	2523
FUT2	2524
FUT3	2525
FUT4	2526
FUT5	2527
FUT6	2528
FUT7	2529
FUT8	2530
KDSR	2531
ACKR1	2532
FYB1	2533
FYN	2534
FZD2	2535
IFI6	2537
G6PC	2538
G6PD	2539
SLC37A4	2542
XRCC6	2547
GAA	2548
GAB1	2549
GABBR1	2550
GABPA	2551
GABPB1	2553
GABRA1	2554
GABRA2	2555
GABRA3	2556
GABRA4	2557
GABRA5	2558
GABRA6	2559
GABRB1	2560
GABRB2	2561
GABRB3	2562
GABRD	2563
GABRE	2564
GABRG1	2565
GABRG2	2566
GABRG3	2567
GABRP	2568
GABRR1	2569
GABRR2	2570
GAD1	2571
GAD2	2572
GAK	2580
GALC	2581
GALE	2582
B4GALNT1	2583
GALK1	2584
GALK2	2585
GALR1	2587
GALNS	2588
GALNT1	2589
GALNT2	2590
GALNT3	2591
GALT	2592
GAMT	2593
GANC	2595
GAP43	2596
GAPDH	2597
LRRC32	2615
GARS	2617
GART	2618
GAS1	2619
GAS2	2620
GAS6	2621
GAS8	2622
GATA1	2623
GATA2	2624
GATA3	2625
GATA4	2626
GATA6	2627
GATM	2628
GBA	2629
GBAP1	2630
NIPSNAP2	2631
GBE1	2632
GBP1	2633
GBP2	2634
