,logFC,AveExpr,t,P.Value,adj.P.Val,B
LTV1,-0.0604466009286679,7.07253812035926,-7.37201583026953,1.73962759813582e-13,6.88820088765844e-13,18.4487793168212
MND1,-0.0604406845032215,6.88174377086911,-18.3558676417747,1.06079910364033e-74,1.6729578058874e-73,158.476562356394
PPT1,0.0603683137163584,7.18434773964534,6.18259898828541,6.41560862310627e-10,2.05668445002505e-09,10.4064328463749
PTGR1,-0.0603616982401194,7.27885292250444,-5.61274656458749,2.01521239044208e-08,5.86689028212449e-08,7.05169917913916
EXOC6B,-0.0602595953833789,7.13136765395604,-6.61955690404298,3.68515426205585e-11,1.27628320613032e-10,13.1976087194716
RSBN1L,0.0602359553468799,7.42616030864316,4.99045272533115,6.06941252663516e-07,1.57483231931071e-06,3.75751583769737
TRIAP1,-0.0601115409586075,7.30255714026916,-5.60088421692276,2.15790099957896e-08,6.26537398440843e-08,6.98529904481733
CNOT6L,0.060081112775288,7.15785267442038,6.31832828396206,2.6943838565087e-10,8.83988094996557e-10,11.2531111474445
ANXA8L1,-0.0599710208832456,7.12455296599694,-6.79912467013253,1.07932708835703e-11,3.86002707594942e-11,14.3996639278996
ANAPC16,0.0599560165418402,7.94013704575965,4.29788286498795,1.73172637400543e-05,3.96506470762007e-05,0.545006487245185
WBP5,0.0599520504832534,7.36089639995563,4.98296004677047,6.30903497102648e-07,1.63307526511838e-06,3.72020271838594
TIMM17A,-0.0599262762863784,7.33414170118064,-5.39544292654606,6.90554184731856e-08,1.93379097378787e-07,5.85755418609651
CHPT1,-0.0598684893092112,6.9342209174006,-11.330799564093,1.1160386033535e-29,8.11732914430114e-29,55.3071562205847
PSIP1,-0.0598640892539739,7.33832713756597,-5.17218945125394,2.33379376828743e-07,6.27716743167493e-07,4.67968624943036
RHBDL2,-0.0597849205101226,6.99875237069303,-8.73751680267485,2.54880870937024e-18,1.28654153901545e-17,29.4126477545726
USP5,-0.059778895524272,7.03227001214675,-8.02309274493689,1.08195520372957e-15,4.81812833837149e-15,23.445912388099
DDX46,-0.0597552889881594,7.76015727683314,-4.3741792506066,1.22446170159329e-05,2.8387842820015e-05,0.875471713827231
